Rank,,Nation,HDI,
2021 data (2022 report) [13],Change since 2015 [14],,2021 data (2022 report) [13],Average annual growth (2010–2021) [14]
1,,  Switzerland,0.962, 0.19%
2,, Norway,0.961, 0.19%
3,, Iceland,0.959, 0.56%
4, (3), Hong Kong,0.952, 0.44%
5, (3), Australia,0.951, 0.27%
6,, Denmark,0.948, 0.34%
7, (2), Sweden,0.947, 0.36%
8, (6), Ireland,0.945, 0.40%
9, (5), Germany,0.942, 0.16%
10, (1), Netherlands,0.941, 0.24%
11,, Finland,0.94, 0.29%
12, (1), Singapore,0.939, 0.29%
13, (2), Belgium,0.937, 0.25%
13, (3), New Zealand,0.937, 0.15%
15, (2), Canada,0.936, 0.25%
16, (1), Liechtenstein,0.935, 0.22%
17, (3), Luxembourg,0.93, 0.18%
18, (3), United Kingdom,0.929, 0.17%
19,, Japan,0.925, 0.27%
19, (3), South Korea,0.925, 0.35%
21, (3), United States,0.921, 0.10%
22,, Israel,0.919, 0.25%
23, (4), Malta,0.918, 0.58%
23, (1), Slovenia,0.918, 0.28%
25, (4), Austria,0.916, 0.14%
26, (9), United Arab Emirates,0.911, 0.80%
27,, Spain,0.905, 0.38%
28, (3), France,0.903, 0.27%
29, (3), Cyprus,0.896, 0.41%
30, (1), Italy,0.895, 0.13%
31, (2), Estonia,0.89, 0.30%
32, (6), Czechia,0.889, 0.20%
33, (2), Greece,0.887, 0.19%
34, (1), Poland,0.876, 0.37%
35, (3), Bahrain,0.875, 0.73%
35, (1), Lithuania,0.875, 0.35%
35, (2), Saudi Arabia,0.875, 0.64%
38, (2), Portugal,0.866, 0.40%
39, (1), Latvia,0.863, 0.42%
40, (6), Andorra,0.858, 0.11%
40, (5), Croatia,0.858, 0.40%
42, (1), Chile,0.855, 0.46%
42, (1), Qatar,0.855, 0.23%
44,NA[a], San Marino,0.853,NA[a]
45, (5), Slovakia,0.848, 0.09%
46, (1), Hungary,0.846, 0.20%
47, (4), Argentina,0.842, 0.09%
48, (6), Turkey,0.838, 1.03%
49, (3), Montenegro,0.832, 0.27%
50, (1), Kuwait,0.831, 0.20%
51, (3), Brunei,0.829, 0.01%
52, (2), Russia,0.822, 0.29%
53, (4), Romania,0.821, 0.16%
54, (3), Oman,0.816, 0.32%
55, (2), Bahamas,0.812, 0.00%
56, (4), Kazakhstan,0.811, 0.51%
57, (2), Trinidad and Tobago,0.81, 0.23%
58, (4), Costa Rica,0.809, 0.43%
58,, Uruguay,0.809, 0.25%
60, (3), Belarus,0.808, 0.21%
61,, Panama,0.805, 0.37%
62, (1), Malaysia,0.803, 0.39%
63, (7), Georgia,0.802, 0.50%
63, (2), Mauritius,0.802, 0.55%
63, (4), Serbia,0.802, 0.41%
66, (6), Thailand,0.8, 0.75%